molecular formula,Altamaha_PP48_000107-4_p08
C14H8O7S,1393959.8
C14H8O9,3673646.0
C11H12O9S,1364527.4
C11H13O9P,2338354.8
C14H14O3N2P2,2520121.3
C15H12O8,21866044.0
C12H16O8S,3503676.5
C14H12O7N2,2663999.3
C12H17O8P,10808896.0
C12H16O10,4526659.0
C15H18O2N2P2,5335622.5
C16H16O7,27969096.0
C13H20O7S,3239497.5
C15H16O6N2,3629644.5
C13H21O7P,16598605.0
C13H20O9,3732048.0
C16H22ON2P2,4715091.5
C17H20O6,21608022.0
C16H20O5N2,1529689.5
C14H25O6P,11744858.0
C14H24O8,1730397.0
C18H24O5,13993570.0
C15H29O5P,1323367.1
C19H28O4,1412207.6
C17H37O3P,16148097.0
C14H11O8N,4065185.3
C(13)14H12O8,2896804.3
C(13)11H17O8P,1971880.9
C15H15O7N,5310382.5
C(13)15H16O7,4196273.0
C(13)12H20O7S,1754034.4
C(13)12H21O7P,2721718.0
C16H19O6N,3277755.5
C(13)16H20O6,3187646.3
C(13)13H25O6P,1611715.0
C(13)17H24O5,3122123.5
C14H10O7S,1424124.1
C14H10O9,13205763.0
C11H14O9S,1381379.8
C11H15O9P,3650823.3
C15H14O6S,2412809.3
C14H16O3N2P2,3486477.8
C15H14O8,39651600.0
C12H18O8S,2046736.8
C14H14O7N2,4429075.5
C12H19O8P,10457364.0
C15H20O2N2P2,4832538.5
C16H18O7,48245020.0
C15H18O6N2,3823904.8
C13H23O7P,9431329.0
C16H24ON2P2,3927335.8
C17H22O6,29071658.0
C14H27O6P,5216558.5
C18H26O5,8454455.0
C(13)13H10O9,1668458.0
C14H13O8N,7029364.0
C(13)14H14O8,6130295.0
C(13)11H19O8P,1577851.8
C15H17O7N,6532737.0
C(13)15H18O7,7896708.0
C(13)12H23O7P,1356424.8
C16H21O6N,2894478.3
C(13)16H22O6,5699217.0
C13H8O10,1573319.0
C14H12O7S,2852813.8
C14H12O9,33549268.0
C13H12O8N2,2466264.0
C11H17O9P,3626456.5
C18H12O6,1479897.4
C15H16O6S,2730458.5
C15H17O6P,1689566.1
C14H18O3N2P2,3814367.0
C15H16O8,73911264.0
C14H16O7N2,4858853.0
C12H21O8P,5616613.5
C15H22O2N2P2,3028972.0
C16H20O7,78711792.0
C15H20O6N2,2265586.0
C13H25O7P,5070834.5
C16H26ON2P2,1737721.0
C17H24O6,23989242.0
C14H29O6P,5696511.5
C18H28O5,3712520.0
C15H32O5S,1875977.1
C13H11O9N,2708279.0
C(13)13H12O9,4395322.0
C(13)14H17O6P,7884100.0
C(13)14H16O8,11285831.0
C15H19O7N,5411153.0
C(13)15H20O7,10794324.0
C(13)16H24O6,3916128.8
C13H10O8S,2109070.8
C13H10O10,7960213.0
C17H10O7,2358426.5
C14H14O7S,3474075.8
C14H15O7P,2478751.3
C14H14O9,56938148.0
C13H14O8N2,2647206.0
C14H20ON2SP2,2027686.8
C18H14O6,2588839.5
C15H19O6P,3469996.0
C15H18O8,107122352.0
C14H18O7N2,2162867.0
C12H23O8P,3046579.8
C16H22O5S,1714357.6
C16H23O5P,2578617.0
C15H24O2N2P2,1783226.0
C16H22O7,53309116.0
C13H27O7P,3976896.5
C24H22O,1605062.9
C17H26O6,9555657.0
C18H30O3S,44642000.0
C18H30O5,1583829.8
C(13)13H15O7P,4052995.3
C(13)13H14O9,7626758.0
C(13)14H19O6P,6545424.0
C(13)14H18O8,13211667.0
C(13)15H23O5P,3025437.0
C(13)15H22O7,7064608.0
C(13)16H26O6,1925676.9
C(13)17H30O3S,7823411.5
C13H12O8S,3824985.3
C13H13O8P,3022684.8
C13H12O10,19902816.0
C24H8O2,1601635.1
C17H12O7,3234149.0
C14H16O7S,3720550.3
C14H17O7P,5116265.5
C14H16O9,73240944.0
C13H16O8N2,1628528.5
C18H16O6,5814642.0
C15H20O6S,3733363.0
C15H21O6P,6063478.5
C15H20O8,75846008.0
