Mass,C,H,O,N,C13,S,P,Na,El_comp,Class,NeutralMass,Error_ppm,Candidates,Altamaha_SW48_000107-3_p08
327.018036995477,13,12,8,0,0,1,0,0,CHOS,Lignin,328.025313462357,-0.0774646222976322,3,2513752.8
327.02773399469,13,13,8,0,0,0,1,0,CHOP,Lignin,328.03501046157,-0.629681172802684,4,1943900.4
327.035767994038,13,12,10,0,0,0,0,0,CHO,Tannin,328.043044460918,0.00653963463531303,3,14911327
327.051024126501,17,12,7,0,0,0,0,0,CHO,ConHC,328.058300593381,0.00654310109265771,4,2933604.8
327.054424967132,14,16,7,0,0,1,0,0,CHOS,Lignin,328.061701434012,-0.0849709431793538,2,3343718
327.064108970726,14,17,7,0,0,0,1,0,CHOP,Lignin,328.071385437606,-0.59751388012472,3,4565865.5
327.072153497389,14,16,9,0,0,0,0,0,CHO,Lignin,328.079429964269,0.00654789780190661,3,48146284
327.087409629854,18,16,6,0,0,0,0,0,CHO,Lignin,328.094686096734,0.00655135794649384,3,3162482
327.090767669175,15,20,6,0,0,1,0,0,CHOS,Lignin,328.098044136055,0.0455002551276576,2,2725747.3
327.100462121878,15,21,6,0,0,0,1,0,CHOP,Lignin,328.107738588758,-0.498836322611649,2,5563254.5
327.108539000745,15,20,8,0,0,0,0,0,CHO,Lignin,328.115815467625,0.00655614562298677,3,47925112
327.123795133212,19,20,5,0,0,0,0,0,CHO,Lignin,328.131071600092,0.00655959928369614,3,2461567.3
327.127088802746,16,24,5,0,0,1,0,0,CHOS,Protein,328.134365269626,0.241673174362614,4,1820800.4
327.136838585466,16,25,5,0,0,0,1,0,CHOP,Protein,328.144115052346,-0.471223888377636,2,2823044
327.144924504105,16,24,7,0,0,0,0,0,CHO,Protein,328.152200970985,0.00656437810365803,3,14276487
327.163596502598,17,28,4,0,0,1,0,0,CHOS,Lipid,328.170872969478,-0.130701050562211,3,2796429.8
327.180098501267,0,0,0,0,0,0,0,0,,None,328.187374968147,0,2,5710739.5
327.190929500394,0,0,0,0,0,0,0,0,,None,328.198205967274,0,0,1848215.5
327.217599498246,18,32,5,0,0,0,0,0,CHO,Lipid,328.224875965126,0.299101564557828,1,1564577.3
327.254120495309,19,36,4,0,0,0,0,0,CHO,Lipid,328.261396962189,-0.11368436528336,1,1559470.5
328.039182474593,12,12,10,0,1,0,0,0,CHO,Tannin,329.046458941473,-0.17473968050889,3,2353868.5
328.067420582606,13,17,7,0,1,0,1,0,CHOP,Lignin,329.074697049486,-0.464336174447144,3,3321558.8
328.075503613525,13,16,9,0,1,0,0,0,CHO,Lignin,329.082780080405,0.0208758882566693,2,6036698
328.10378072169,14,21,6,0,1,0,1,0,CHOP,Lignin,329.11105718857,-0.387206893659392,3,3462372.3
328.111888752705,14,20,8,0,1,0,0,0,CHO,Lignin,329.119165219585,0.0219890404675789,1,7302375
328.148214891665,15,24,7,0,1,0,0,0,CHO,Protein,329.155491358545,0.202349214547805,1,2124532.5
328.756593551043,0,0,0,0,0,0,0,0,,None,329.763870017923,0,0,2414035.5
328.804175547462,0,0,0,0,0,0,0,0,,None,329.811452014342,0,0,1560037.1
328.958863535872,0,0,0,0,0,0,0,0,,None,329.966140002752,0,3,19704350
329.030288530548,16,10,8,0,0,0,0,0,CHO,ConHC,330.037564997428,0.00697003182038751,4,4161080.3
329.033632963529,13,14,8,0,0,1,0,0,CHOS,Lignin,330.040909430409,0.0869158639038555,2,2718777.5
329.040847211693,17,15,3,0,0,1,1,0,CHOSP,Lignin,330.048123678573,-0.521532349767163,1,1346108.3
329.04330800185,13,15,8,0,0,0,1,0,CHOP,Lignin,330.05058446873,-0.395395238887532,5,3865149.3
329.051417901576,13,14,10,0,0,0,0,0,CHO,Tannin,330.058694368456,0.00697434825119534,3,23460416
329.061129622542,24,10,2,0,0,0,0,0,CHO,ConHC,330.068406089422,-0.989262275180844,3,1487683.8
329.066674034142,17,14,7,0,0,0,0,0,CHO,Lignin,330.073950501022,0.00697746156753925,4,6474310
329.069986893519,14,18,7,0,0,1,0,0,CHOS,Lignin,330.077263360399,0.182569680562893,2,3267143
329.079739142096,14,19,7,0,0,0,1,0,CHOP,Lignin,330.087015608976,-0.533599832737604,3,11065931
329.087803405172,14,18,9,0,0,0,0,0,CHO,Lignin,330.095079872052,0.00698176929783794,3,35195468
329.097626367924,17,20,1,2,0,0,2,0,CHONP,UnsatHC,330.104902834804,0.555761802430418,2,1746001.1
329.099053250893,13,18,8,2,0,0,0,0,CHON,Lignin,330.106329717773,-0.0428733759938232,3,1472081.8
329.10305953774,18,18,6,0,0,0,0,0,CHO,Lignin,330.11033600462,0.006984876590008,3,4527699
329.10645896641,15,22,6,0,0,1,0,0,CHOS,Lignin,330.11373543329,-0.0796831120787017,2,2640468.5
