Molecular formula,Altamaha_SW48_000107-4_p08
C13H16O10S,2636770.3
C13H16O12,2456552.8
C17H16O9,39813616.0
C14H20O9S,3620335.5
C16H16O8N2,4133362.3
C14H20O11,3318261.8
C18H20O8,40255996.0
C15H24O8S,3579388.5
C17H20O7N2,3065855.5
C19H24O7,32506376.0
C20H28O6,11184662.0
C15H11O10N,2514760.5
C16H15O9N,5725013.5
C13H19O11N,2675037.3
C17H19O8N,5242722.5
C14H23O10N,2870634.5
C18H23O7N,2564464.0
C15H10O11,7316652.0
C16H14O10,44262584.0
C17H18O9,54658248.0
C18H22O8,57590996.0
C17H22O7N2,2352343.5
C19H26O7,29254880.0
C20H30O6,6526189.5
C15H13O10N,4404768.5
C16H17O9N,6714926.0
C13H21O11N,2037813.5
