molecular formula,Altamaha_SW48_000107-3_p08
C16H16O8N2,3429905.0
C14H20O11,1962005.4
C18H20O8,35906076.0
C15H24O8S,3019293.8
C17H20O7N2,2692129.3
C19H24O7,30097964.0
C20H28O6,11246141.0
C18H36O5S,1802830.5
C16H15O9N,5069769.5
C13H19O11N,2439635.0
C17H19O8N,4717529.5
C14H23O10N,2256355.3
C18H23O7N,2595818.0
C15H10O11,4129137.5
C16H14O8S,2346873.8
C16H14O10,31376770.0
C17H18O9,43664784.0
C16H18O8N2,4172183.0
C18H22O8,48162212.0
C19H26O7,26191282.0
C20H30O6,6316483.0
C16H34O7N2,2335697.3
C15H13O10N,3113790.5
C16H17O9N,5296974.5
C13H21O11N,1526360.0
C17H21O8N,4061023.0
C18H25O7N,1778543.1
C15H12O11,12464373.0
C19H12O8,2308860.3
C16H16O8S,2449149.8
C16H16O10,44304644.0
C17H20O9,58345748.0
C16H20O8N2,3105051.0
C18H24O8,43723048.0
C19H28O7,13994294.0
C20H32O6,2258758.5
C15H15O10N,4538048.5
C16H19O9N,5270225.0
C17H23O8N,3954401.0
C18H27O7N,1983729.4
C18H10O9,2255980.5
C15H14O9S,2135149.8
C15H14O11,26160246.0
C19H14O8,3521660.5
C16H18O10,54791300.0
C15H18O9N2,1949323.0
C20H18O7,3034764.8
C17H22O9,49384600.0
C21H22O6,2025116.8
C18H26O6S,2768542.3
C18H26O8,21314726.0
C19H30O7,4296886.5
C14H13O11N,1505838.6
C18H13O8N,1668661.4
C15H17O10N,4601406.5
C16H21O9N,4991567.0
C17H25O8N,3127391.0
C14H12O10S,1505241.4
C14H12O12,4415457.0
C18H12O9,4487144.0
C15H16O9S,3086313.5
C15H16O11,34009072.0
C19H16O8,6336504.0
C16H20O8S,2337785.5
C16H20O10,43290624.0
C20H20O7,5686280.0
C17H24O7S,3089417.5
C17H24O9,22290450.0
C21H24O6,3336216.0
C18H28O6S,1513497.5
C18H28O8,6793249.5
C17H11O9N,1475230.0
C14H15O11N,1478311.1
C18H15O8N,1918894.0
C15H19O10N,5305783.0
C16H23O9N,4258247.0
C17H27O8N,2341847.0
C17H10O10,4568909.5
C14H14O10S,1614158.8
C14H14O12,9395030.0
C18H14O9,10394461.0
